Item_Name,class,Brand,Weight,Number of units,Size of units,Price,T.Price,Pack,Unit
بيور عصير كوكتيل 1 لتر,Soft Drinks & Juices,بيور,1لتر,1,,,,زجاجة,لتر
ريتش بيك توست ناشف رده 390جم,Bakery,ريتش بيك,390جم,1,,,,كيس,جم
9.90 4.95 2 شيبسي بطاطس ملح 83-73 جم,Chips & Crackers,شيبسي,73-83جم,2,,4.95,9.9,كيس,جم
بيبسي كانز 330 ملل,Soft Drinks & Juices,بيبسي,330ملل,1,,,,كانز,ملل
طبق بلاستيك مربع الوان 18  *18  سم,Furniture,,18*18  سم,1,,,,بلاستيك,سم
مكفتيز بسكويت لايت دايجستبف 250 جم,Biscuits & Cakes,مكفتيز,250جم,1,,,,عبوة,جم
GOLD ALEX NAT.MIN.GARLIC200g ,Vegetables & Fruits,GOLD ALEX,200g,1,,,,عبوة,g
Shahrazad Molokhia - 400 gm,Vegetables & Fruits,Shahrazad,400gm,1,,,,كيس,gm
كانز بيبسي,Soft Drinks & Juices,بيبسي,,1,,,,كانز,
rich smokwd beef bacon-250g,Beef & Processed Meat,rich,250gm,1,,,,عبوة,gm
برسيل جل بلاك ,Cleaning Supplies,برسيل,,1,,,,عبوة,
ملبن مبروم اكسترا ورد وزن,"Chocolates, Sweets & Desserts",,,1,,,,عبوة,
كلوركس مبيض 1.2 لتر,Cleaning Supplies,كلوركس,1.2لتر,1,,,,عبوة,لتر
ايجى جاردن مشروم قطع وشرائح 800جم,"Tins, Jars & Packets",ايجى جاردن,800جم,1,,,,عبوة,جم
Knoor Liver Mix 30 Gm 10%Off,Cooking Ingredients,Knoor,30مل,1,,,,عبوة,مل
تفاح مودي 1 كجم,Vegetables & Fruits,,1كجم,1,,,,عبوة,كجم
N1 Sunflower Oil - 900ml,Cooking Ingredients,N1,900ml,1,,,,عبوة,ml
Dasani Natural Water - 1.5 L x 12 Bottles,Water,Dasani,1.5Litre,12,,,,عبوة,Litre
Nestle Pure Life Water 6Litre,Water,Nestle,6Litre,1,,,,زجاجة,Litre
Hyperone Konafa with Nuts - By Weight,"Chocolates, Sweets & Desserts",Hyperone,,1,,,,عبوة,
دجاج مقلي شيكيتيتا - 12 قطعة,Poultry,شيكيتيتا,,12,,,,عبوة,
Green Tea W/ Jasmine - 25 Tagged,"Tea, Coffee & Hot Drinks",,,25,,,,علبة,
بامية زيرو أمريكانا - 400جم,Vegetables & Fruits,أمريكانا,400جم,1,,,,عبوة,جم
قشطه المراعى للخفق 500غرام,Dairy & Eggs,المراعى,500غرام,1,,,,عبوة,غرام
دجاجة كاملة مجمدة شهد - 850-900 جم,Poultry,شهد,850-900جم,1,,,,عبوة,جم
Dasani Mineral Water,Water,Dasani,,1,,,,زجاجة,
41.82 سجق بقري,Beef & Processed Meat,,,1,,41.82,41.82,عبوة,
ريد طائر سوبر 300مل,Cleaning Supplies,ريد,300مل,1,,,,عبوة,مل
نوش نوش رقائق بطاطس ملح+خل,Chips & Crackers,نوش نوش,,1,,,,كيس,
English No. 1 - 20 Foil,"Tea, Coffee & Hot Drinks",,,20,,,,علبة,
Nestle Fitness Toasties Oats Tomato & Herbs 36g,Chips & Crackers,Nestle Fitness,36g,1,,,,كيس,g
سبرايت 330 مل زجاج,Soft Drinks & Juices,سبرايت,330مل,1,,,,زجاج,مل
15.00 Water 1,Water,,,1,,15,15,زجاجة,
برجر لحم بقري بلدي 500 جم,Beef & Processed Meat,,500جم,1,,,,عبوة,جم
1 عصير ليمون أعضاء 10 10,Soft Drinks & Juices,,,1,,10,10,زجاجة,
كاتشب 200عرض,"Sauces, Dressings & Condiments",,,1,,,,عبوة,
صوص بيج تيستى ,"Sauces, Dressings & Condiments",,,1,,,,عبوة,
Heinz Dark Soy Sauce - 500ml,"Sauces, Dressings & Condiments",Heinz,500ml,1,,,,عبوة,ml
شويبس يوسفى 300-330مل كانز,Soft Drinks & Juices,شويبس,330مل,1,,,,زجاجة,مل
26.25 8.75 3 Fizz Pure Nestle ,Water,Nestle,,3,,8.75,26.25,زجاجة,
نستله  مياه 600مل,Water,نستله,600مل,1,,,,زجاجة,مل
دجاج تمرى اوراك دجاج طازج 1كيلو,Poultry,تمرى,1كيلو,1,,,,عبوة,كيلو
"Shahd Frozen Chicken, 950-1000 gm",Poultry,Shahd,950-1000gm,1,,,,عبوة,gm
تونة قطعة واحدة روز 200جم س-ف,"Tins, Jars & Packets",روز,200جم,1,,,,علبة,جم
سمن صافي - 2 كجم,Cooking Ingredients,,2كجم,1,,,,عبوة,كجم
شرب مياه طبيعية من نستله - 600 مل,Water,نستله,600مل,1,,,,زجاجة,مل
Cadbury Dairy Milk Hazelnut Bar 37g,"Chocolates, Sweets & Desserts",Cadbury,37g,1,,,,عبوة,g
Hyperone Konafa with Nuts - By Weight,"Chocolates, Sweets & Desserts",Hyperone,,1,,,,,
Greenland Full Cream Milk - 1 Liter,Dairy & Eggs,Greenland,1L,1,,,,عبوة,L
Fruit Cookies 10pcs,Biscuits & Cakes,,,10,,,,باكو,
هارفست فول دمياطي مدمس بالزيت والكمون والليمون 400 جم,"Tins, Jars & Packets",هارفست,400جم,1,,,,عبوة,جم
Freska Sticks Wafer - 24 Pieces,Biscuits & Cakes,Freska,,24,,,,علبة,
فلفل أخضر 1 /2 كيلو 4 1  4,Vegetables & Fruits,,1/2كيلو,1,,4,4,,كيلو
